Date,Year,Site,Treatment,Cluster,Structure,Replicate,Method,Area_m2,Oyster_Count,Mean_Oyster_Shell_Height_mm
10/2/2019,2019,0,Gabion Cage,2,1,1,Quadrat,0.04,86,32.94
10/2/2019,2019,0,Gabion Cage,2,1,2,Quadrat,0.04,76,35.86
10/2/2019,2019,0,Gabion Cage,2,2,1,Quadrat,0.04,63,38.18
10/2/2019,2019,0,Gabion Cage,2,2,2,Quadrat,0.04,42,40.05
10/2/2019,2019,0,Gabion Cage,2,3,1,Quadrat,0.04,59,37.12
10/2/2019,2019,0,Gabion Cage,2,3,2,Quadrat,0.04,64,35.2
10/2/2019,2019,0,Gabion Cage,2,4,1,Quadrat,0.04,77,37.46
10/2/2019,2019,0,Gabion Cage,2,4,2,Quadrat,0.04,76,39.64
10/2/2019,2019,1,Gabion Cage,1,1,1,Quadrat,0.04,9,42.4
10/2/2019,2019,1,Gabion Cage,1,1,2,Quadrat,0.04,22,15.7
10/2/2019,2019,1,Gabion Cage,1,2,1,Quadrat,0.04,3,36
10/2/2019,2019,1,Gabion Cage,1,2,2,Quadrat,0.04,9,38.8
10/2/2019,2019,1,Gabion Cage,1,3,1,Quadrat,0.04,7,39.1
10/2/2019,2019,1,Gabion Cage,1,3,2,Quadrat,0.04,7,32.6
10/2/2019,2019,1,Gabion Cage,1,4,1,Quadrat,0.04,3,8.7
10/2/2019,2019,1,Gabion Cage,1,4,2,Quadrat,0.04,6,40.7
10/1/2019,2019,1,Gabion Cage,2,1,1,Quadrat,0.04,9,39.3
10/1/2019,2019,1,Gabion Cage,2,1,2,Quadrat,0.04,13,41
10/1/2019,2019,1,Gabion Cage,2,2,1,Quadrat,0.04,9,44.3
10/1/2019,2019,1,Gabion Cage,2,2,2,Quadrat,0.04,6,49.3
10/29/2019,2019,1,Gabion Cage,2,3,1,Quadrat,0.04,24,31.8
10/29/2019,2019,1,Gabion Cage,2,3,2,Quadrat,0.04,17,31.3
10/29/2019,2019,1,Gabion Cage,2,4,1,Quadrat,0.04,18,26.7
10/29/2019,2019,1,Gabion Cage,2,4,2,Quadrat,0.04,12,22.6
10/29/2019,2019,8,Gabion Cage,1,1,1,Quadrat,0.04,47,19.4
10/29/2019,2019,8,Gabion Cage,1,1,2,Quadrat,0.04,60,19.9
10/29/2019,2019,8,Gabion Cage,1,2,1,Quadrat,0.04,48,23.1
10/29/2019,2019,8,Gabion Cage,1,2,2,Quadrat,0.04,20,22.7
10/29/2019,2019,8,Gabion Cage,1,3,1,Quadrat,0.04,28,18.1
10/29/2019,2019,8,Gabion Cage,1,3,2,Quadrat,0.04,36,25.9
10/29/2019,2019,8,Gabion Cage,1,4,1,Quadrat,0.04,19,21.2
10/29/2019,2019,8,Gabion Cage,1,4,2,Quadrat,0.04,32,19.3
9/30/2019,2019,8,Gabion Cage,2,1,1,Quadrat,0.04,15,21.8
9/30/2019,2019,8,Gabion Cage,2,1,2,Quadrat,0.04,3,13
9/30/2019,2019,8,Gabion Cage,2,2,1,Quadrat,0.04,11,31.5
9/30/2019,2019,8,Gabion Cage,2,2,2,Quadrat,0.04,7,36.1
9/30/2019,2019,8,Gabion Cage,2,3,1,Quadrat,0.04,21,31.9
9/30/2019,2019,8,Gabion Cage,2,3,2,Quadrat,0.04,17,29.6
9/30/2019,2019,8,Gabion Cage,2,4,1,Quadrat,0.04,8,42.9
9/30/2019,2019,8,Gabion Cage,2,4,2,Quadrat,0.04,14,32.1
10/2/2019,2019,0,Reef Ball,1,1,1,Quadrat,0.04,33,47.5
10/2/2019,2019,0,Reef Ball,1,1,2,Quadrat,0.04,21,46
10/2/2019,2019,0,Reef Ball,1,1,3,Quadrat,0.04,31,50.1
10/2/2019,2019,0,Reef Ball,1,1,4,Quadrat,0.04,40,48.9
10/2/2019,2019,0,Reef Ball,1,2,1,Quadrat,0.04,9,41.3
10/2/2019,2019,0,Reef Ball,1,2,2,Quadrat,0.04,14,39.4
10/2/2019,2019,0,Reef Ball,1,2,3,Quadrat,0.04,14,40.5
10/2/2019,2019,0,Reef Ball,1,2,4,Quadrat,0.04,26,47.2
10/2/2019,2019,0,Reef Ball,1,3,1,Quadrat,0.04,11,46.5
10/2/2019,2019,0,Reef Ball,1,3,2,Quadrat,0.04,4,50.5
10/2/2019,2019,0,Reef Ball,1,3,3,Quadrat,0.04,18,42
10/2/2019,2019,0,Reef Ball,1,3,4,Quadrat,0.04,29,45.9
10/2/2019,2019,0,Reef Ball,1,4,1,Quadrat,0.04,16,44
10/2/2019,2019,0,Reef Ball,1,4,2,Quadrat,0.04,23,48.6
10/2/2019,2019,0,Reef Ball,1,4,3,Quadrat,0.04,14,41.6
10/2/2019,2019,0,Reef Ball,4,1,4,Quadrat,0.04,52,47.6
10/1/2019,2019,1,Reef Ball,1,1,1,Whole Structure - Inside & Outside,2.7,14,29.2
10/1/2019,2019,1,Reef Ball,1,2,1,Whole Structure - Inside & Outside,2.7,33,34.2
10/1/2019,2019,1,Reef Ball,1,3,1,Whole Structure - Inside & Outside,2.7,67,28.9
10/1/2019,2019,1,Reef Ball,1,4,1,Whole Structure - Inside & Outside,2.7,59,33.4
10/1/2019,2019,1,Reef Ball,2,1,1,Whole Structure - Inside & Outside,2.7,37,34.95
10/1/2019,2019,1,Reef Ball,2,2,1,Whole Structure - Inside & Outside,2.7,24,34.63
10/1/2019,2019,1,Reef Ball,2,3,1,Whole Structure - Inside & Outside,2.7,67,32.68
10/1/2019,2019,1,Reef Ball,2,4,1,Whole Structure - Inside & Outside,2.7,67,38.46
10/1/2019,2019,1,Reef Ball,3,1,1,Whole Structure - Inside & Outside,2.7,33,39.12
10/1/2019,2019,1,Reef Ball,3,2,1,Whole Structure - Inside & Outside,2.7,79,33.36
10/1/2019,2019,1,Reef Ball,3,3,1,Whole Structure - Inside & Outside,2.7,52,38.6
10/1/2019,2019,1,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,43,27
10/1/2019,2019,1,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,47,25.7
10/2/2019,2019,1,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,32,40
10/2/2019,2019,1,Reef Ball,4,2,1,Whole Structure - Inside & Outside,2.7,40,27.5
10/1/2019,2019,1,Reef Ball,4,3,1,Whole Structure - Inside & Outside,2.7,37,33.9
10/1/2019,2019,1,Reef Ball,4,4,1,Whole Structure - Inside & Outside,2.7,31,33.2
9/30/2019,2019,8,Reef Ball,1,1,1,Whole Structure - Inside & Outside,2.7,7,42.29
9/29/2019,2019,8,Reef Ball,1,2,1,Whole Structure - Inside & Outside,2.7,36,26.1
9/29/2019,2019,8,Reef Ball,1,3,1,Whole Structure - Inside & Outside,2.7,54,19
9/29/2019,2019,8,Reef Ball,1,4,1,Whole Structure - Inside & Outside,2.7,56,18.1
9/29/2019,2019,8,Reef Ball,1,5,1,Whole Structure - Inside & Outside,2.7,32,20.3
9/29/2019,2019,8,Reef Ball,2,1,1,Whole Structure - Inside & Outside,2.7,51,21.3
9/29/2019,2019,8,Reef Ball,2,2,1,Whole Structure - Inside & Outside,2.7,45,20.4
9/29/2019,2019,8,Reef Ball,2,3,1,Whole Structure - Inside & Outside,2.7,50,24.3
9/29/2019,2019,8,Reef Ball,2,4,1,Whole Structure - Inside & Outside,2.7,28,22.4
9/30/2019,2019,8,Reef Ball,3,2,1,Whole Structure - Inside & Outside,2.7,25,49
9/30/2019,2019,8,Reef Ball,3,3,1,Whole Structure - Inside & Outside,2.7,17,14.5
9/30/2019,2019,8,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,22,17.2
9/30/2019,2019,8,Reef Ball,3,4,1,Whole Structure - Inside & Outside,2.7,22,16.6
9/29/2019,2019,8,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,56,16.1
9/29/2019,2019,8,Reef Ball,4,1,1,Whole Structure - Inside & Outside,2.7,27,13.4
9/29/2019,2019,8,Reef Ball,4,2,1,Whole Structure - Inside & Outside,2.7,44,15.9
9/29/2019,2019,8,Reef Ball,4,3,1,Whole Structure - Inside & Outside,2.7,42,17.3
10/6/2020,2020,0,Gabion Cage,1,1,1,N/A,N/A,N/A,N/A
10/6/2020,2020,0,Gabion Cage,1,2,1,Quadrat,0.04,116,31.52
10/6/2020,2020,0,Gabion Cage,1,2,1,Quadrat,0.04,96,36.66
10/6/2020,2020,0,Gabion Cage,1,2,2,Quadrat,0.04,65,33.58
10/6/2020,2020,0,Gabion Cage,1,2,2,Quadrat,0.04,105,28.56
10/6/2020,2020,0,Gabion Cage,1,3,1,Quadrat,0.04,123,35.4
10/6/2020,2020,0,Gabion Cage,1,3,2,Quadrat,0.04,151,38.2
10/6/2020,2020,0,Gabion Cage,1,4,1,Quadrat,0.04,94,33.28
10/6/2020,2020,0,Gabion Cage,1,4,2,Quadrat,0.04,160,29.28
10/6/2020,2020,1,Gabion Cage,1,1,1,Quadrat,0.04,100,27.26
10/6/2020,2020,1,Gabion Cage,1,1,2,Quadrat,0.04,69,25
10/6/2020,2020,1,Gabion Cage,1,1,2,Quadrat,0.04,43,23.28
10/6/2020,2020,1,Gabion Cage,1,2,1,Quadrat,0.04,62,27.2
10/6/2020,2020,1,Gabion Cage,1,3,1,Quadrat,0.04,92,27.92
10/6/2020,2020,1,Gabion Cage,1,3,2,Quadrat,0.04,43,26.16
10/6/2020,2020,1,Gabion Cage,1,4,1,Quadrat,0.04,31,29.52
10/6/2020,2020,1,Gabion Cage,1,4,2,Quadrat,0.04,47,27.21
10/6/2020,2020,1,Gabion Cage,2,1,1,Quadrat,0.04,81,21.92
10/6/2020,2020,1,Gabion Cage,2,1,2,Quadrat,0.04,98,21.04
10/6/2020,2020,1,Gabion Cage,2,2,1,Quadrat,0.04,78,24.26
10/6/2020,2020,1,Gabion Cage,2,2,2,Quadrat,0.04,93,23.4
10/6/2020,2020,1,Gabion Cage,2,3,1,Quadrat,0.04,83,23.92
10/6/2020,2020,1,Gabion Cage,2,3,2,Quadrat,0.04,33,20.7
10/5/2020,2020,8,Gabion Cage,1,1,1,Quadrat,0.04,357,21.8
10/5/2020,2020,8,Gabion Cage,1,1,2,Quadrat,0.04,203,15
10/5/2020,2020,8,Gabion Cage,1,2,1,Quadrat,0.04,89,30.72
10/5/2020,2020,8,Gabion Cage,1,2,2,Quadrat,0.04,15,32.93
10/5/2020,2020,8,Gabion Cage,1,3,1,Quadrat,0.04,53,24.53
10/5/2020,2020,8,Gabion Cage,1,3,2,Quadrat,0.04,74,21.02
10/5/2020,2020,8,Gabion Cage,1,4,1,Quadrat,0.04,47,22.04
10/5/2020,2020,8,Gabion Cage,1,4,2,Quadrat,0.04,31,27
10/5/2020,2020,8,Gabion Cage,2,1,1,Quadrat,0.04,50,20
10/5/2020,2020,8,Gabion Cage,2,1,2,Quadrat,0.04,50,25.3
10/5/2020,2020,8,Gabion Cage,2,2,1,Quadrat,0.04,147,20.8
10/5/2020,2020,8,Gabion Cage,2,2,2,Quadrat,0.04,72,23.96
10/5/2020,2020,8,Gabion Cage,2,3,1,Quadrat,0.04,79,21.62
10/5/2020,2020,8,Gabion Cage,2,3,2,Quadrat,0.04,76,22.1
10/5/2020,2020,8,Gabion Cage,2,4,1,Quadrat,0.04,72,23.05
10/5/2020,2020,8,Gabion Cage,2,4,2,Quadrat,0.04,64,19.75
10/6/2020,2020,0,Reef Ball,1,1,1,Quadrat,0.04,79,32
10/6/2020,2020,0,Reef Ball,1,1,2,Quadrat,0.04,82,33.34
10/6/2020,2020,0,Reef Ball,1,2,1,Quadrat,0.04,94,38.16
10/6/2020,2020,0,Reef Ball,1,2,2,Quadrat,0.04,123,33.06
10/6/2020,2020,0,Reef Ball,1,3,1,Quadrat,0.04,108,30.72
10/6/2020,2020,0,Reef Ball,1,3,2,Quadrat,0.04,127,33.74
10/6/2020,2020,0,Reef Ball,1,4,1,Quadrat,0.04,76,37.14
10/6/2020,2020,0,Reef Ball,1,4,2,Quadrat,0.04,77,35.1
10/6/2020,2020,1,Reef Ball,1,1,1,Quadrat,0.04,39,26.28
10/6/2020,2020,1,Reef Ball,1,1,2,Quadrat,0.04,28,24.29
10/6/2020,2020,1,Reef Ball,1,2,1,Quadrat,0.04,73,27.26
10/6/2020,2020,1,Reef Ball,1,2,2,Quadrat,0.04,43,30.35
10/6/2020,2020,1,Reef Ball,1,3,1,Quadrat,0.04,34,30.79
10/6/2020,2020,1,Reef Ball,1,3,2,Quadrat,0.04,13,25.38
10/6/2020,2020,1,Reef Ball,1,4,1,Quadrat,0.04,72,28.6
10/6/2020,2020,1,Reef Ball,1,4,2,Quadrat,0.04,34,29.88
10/6/2020,2020,1,Reef Ball,2,1,1,Quadrat,0.04,17,26.59
10/6/2020,2020,1,Reef Ball,2,1,2,Quadrat,0.04,30,23.33
10/6/2020,2020,1,Reef Ball,2,2,1,Quadrat,0.04,31,26.32
10/6/2020,2020,1,Reef Ball,2,2,2,Quadrat,0.04,36,21.83
10/6/2020,2020,1,Reef Ball,2,3,1,Quadrat,0.04,45,32.62
10/6/2020,2020,1,Reef Ball,2,3,2,Quadrat,0.04,43,27.51
10/6/2020,2020,1,Reef Ball,2,4,1,Quadrat,0.04,39,25.72
10/6/2020,2020,1,Reef Ball,2,4,2,Quadrat,0.04,63,28.54
10/6/2020,2020,1,Reef Ball,3,1,1,Quadrat,0.04,65,29.02
10/6/2020,2020,1,Reef Ball,3,1,2,Quadrat,0.04,57,29.06
10/6/2020,2020,1,Reef Ball,3,2,1,Quadrat,0.04,13,22.62
10/6/2020,2020,1,Reef Ball,3,2,2,Quadrat,0.04,88,27.42
10/6/2020,2020,1,Reef Ball,3,3,1,Quadrat,0.04,32,24.91
10/6/2020,2020,1,Reef Ball,3,3,2,Quadrat,0.04,44,26.73
10/6/2020,2020,1,Reef Ball,3,4,1,Quadrat,0.04,58,25.24
10/6/2020,2020,1,Reef Ball,3,4,2,Quadrat,0.04,28,28.14
10/6/2020,2020,1,Reef Ball,4,1,1,Quadrat,0.04,73,30.16
10/6/2020,2020,1,Reef Ball,4,1,2,Quadrat,0.04,102,36.7
10/6/2020,2020,1,Reef Ball,4,2,1,Quadrat,0.04,78,27.12
10/6/2020,2020,1,Reef Ball,4,2,2,Quadrat,0.04,135,28.56
10/6/2020,2020,1,Reef Ball,4,3,1,Quadrat,0.04,96,31
10/6/2020,2020,1,Reef Ball,4,3,2,Quadrat,0.04,56,30.9
10/6/2020,2020,1,Reef Ball,4,4,1,Quadrat,0.04,65,22.96
10/6/2020,2020,1,Reef Ball,4,4,2,Quadrat,0.04,59,22.96
10/5/2020,2020,8,Reef Ball,1,1,1,Quadrat,0.04,96,28.14
10/5/2020,2020,8,Reef Ball,1,1,2,Quadrat,0.04,85,27.58
10/5/2020,2020,8,Reef Ball,1,2,1,Quadrat,0.04,79,20.82
10/5/2020,2020,8,Reef Ball,1,2,2,Quadrat,0.04,80,26.98
10/6/2020,2020,8,Reef Ball,1,3,1,Quadrat,0.04,24,19.75
10/7/2020,2020,8,Reef Ball,1,3,2,Quadrat,0.04,67,23.88
10/5/2020,2020,8,Reef Ball,1,4,1,Quadrat,0.04,106,25.4
10/5/2020,2020,8,Reef Ball,1,4,2,Quadrat,0.04,69,22.8
10/5/2020,2020,8,Reef Ball,2,1,1,Quadrat,0.04,46,25.15
10/5/2020,2020,8,Reef Ball,2,1,2,Quadrat,0.04,65,24.56
10/5/2020,2020,8,Reef Ball,2,2,1,Quadrat,0.04,135,24.9
10/5/2020,2020,8,Reef Ball,2,2,2,Quadrat,0.04,79,27.86
10/5/2020,2020,8,Reef Ball,2,3,1,Quadrat,0.04,59,32.54
10/5/2020,2020,8,Reef Ball,2,3,2,Quadrat,0.04,44,29.95
10/5/2020,2020,8,Reef Ball,3,1,1,Quadrat,0.04,89,27.48
10/5/2020,2020,8,Reef Ball,3,1,2,Quadrat,0.04,66,26.65
10/5/2020,2020,8,Reef Ball,3,2,1,Quadrat,0.04,23,27.99
10/5/2020,2020,8,Reef Ball,3,2,2,Quadrat,0.04,79,26.1
10/5/2020,2020,8,Reef Ball,3,3,1,Quadrat,0.04,64,25.44
10/5/2020,2020,8,Reef Ball,3,3,2,Quadrat,0.04,110,29.54
10/5/2020,2020,8,Reef Ball,3,4,1,Quadrat,0.04,68,29.24
10/5/2020,2020,8,Reef Ball,3,4,2,Quadrat,0.04,73,28.5
10/5/2020,2020,8,Reef Ball,4,1,2,Quadrat,0.04,63,20.75
10/5/2020,2020,8,Reef Ball,4,2,1,Quadrat,0.04,110,21.39
10/5/2020,2020,8,Reef Ball,4,2,2,Quadrat,0.04,46,26.34
10/5/2020,2020,8,Reef Ball,4,3,1,Quadrat,0.04,49,26.96
10/5/2020,2020,8,Reef Ball,4,3,2,Quadrat,0.04,26,35.15
10/5/2020,2020,8,Reef Ball,4,4,1,Quadrat,0.04,80,24.12
10/5/2020,2020,8,Reef Ball,4,4,2,Quadrat,0.04,24,28.52
10/2/2024,2024,0,Gabion Cage,1,1,1,Whole Structure - Outside Only,1.9,278,55.17
10/2/2024,2024,0,Gabion Cage,1,2,1,Whole Structure - Outside Only,1.9,232,46.44
10/2/2024,2024,0,Gabion Cage,1,3,1,Whole Structure - Outside Only,1.9,236,45.06
10/2/2024,2024,0,Gabion Cage,1,4,1,Whole Structure - Outside Only,1.9,201,47.08
10/3/2024,2024,1,Gabion Cage,1,1,1,Whole Structure - Outside Only,1.9,231,42.98
10/3/2024,2024,1,Gabion Cage,1,2,1,Whole Structure - Outside Only,1.9,166,71.13
10/3/2024,2024,1,Gabion Cage,1,3,1,Whole Structure - Outside Only,1.9,303,39.77
10/3/2024,2024,1,Gabion Cage,1,4,1,Whole Structure - Outside Only,1.9,156,44.16
10/2/2024,2024,8,Gabion Cage,1,1,1,Whole Structure - Outside Only,1.9,164,36.33
10/2/2024,2024,8,Gabion Cage,1,2,1,Whole Structure - Outside Only,1.9,118,36.11
10/2/2024,2024,8,Gabion Cage,1,3,1,Whole Structure - Outside Only,1.9,113,40.3
10/2/2024,2024,8,Gabion Cage,1,4,1,Whole Structure - Outside Only,1.9,61,35.9
10/2/2024,2024,0,Reef Ball,1,1,1,Whole Structure - Outside Only,1.35,105,47.01
10/2/2024,2024,0,Reef Ball,1,2,1,Whole Structure - Outside Only,1.35,136,42.74
10/2/2024,2024,0,Reef Ball,1,3,1,Whole Structure - Outside Only,1.35,128,52.8
10/2/2024,2024,0,Reef Ball,1,4,1,Whole Structure - Outside Only,1.35,151,45.7
10/3/2024,2024,1,Reef Ball,1,1,1,Whole Structure - Outside Only,1.35,108,33.1
10/3/2024,2024,1,Reef Ball,1,2,1,Whole Structure - Outside Only,1.35,77,35.01
10/3/2024,2024,1,Reef Ball,1,3,1,Whole Structure - Outside Only,1.35,118,27.77
10/3/2024,2024,1,Reef Ball,1,4,1,Whole Structure - Outside Only,1.35,94,23.83
10/2/2024,2024,8,Reef Ball,1,1,1,Whole Structure - Outside Only,1.35,58,29.52
10/2/2024,2024,8,Reef Ball,1,2,1,Whole Structure - Outside Only,1.35,38,32.37
10/2/2024,2024,8,Reef Ball,1,3,1,Whole Structure - Outside Only,1.35,130,38.72
10/2/2024,2024,8,Reef Ball,1,4,1,Whole Structure - Outside Only,1.35,147,39.83
